ProblemName,T_default,T_farkasdiving,N_default,N_farkasdiving,DivingSolsMax_default,DivingSolsMax_farkasdiving,FDSols_default,FDSols_farkasdiving,DivingBestSolsMax_default,DivingBestSolsMax_farkasdiving,FDBestSols_default,FDBestSols_farkasdiving,DivingConfsMax_default,DivingConfsMax_farkasdiving,FDConfs_default,FDConfs_farkasdiving,TQ+1_default,TQ+1_farkasdiving,NQ+100_default,NQ+100_farkasdiving
blend2,0.83,0.85,706,728,0,0,0,0,0,1,0,0,13,41,0,2,1,1.01092896174863,1,1.0272952853598
blend2,0.91,1.21,832,1026,1,1,0,1,1,1,0,1,14,22,0,19,1,1.15706806282723,1,1.20815450643777
blend2,0.75,0.8,635,757,0,0,0,0,0,0,0,0,10,24,0,10,1,1.02857142857143,1,1.16598639455782
blend2,0.77,0.73,592,700,0,1,0,0,0,1,0,0,9,16,0,2,1,0.977401129943503,1,1.15606936416185
bley_xl1,164.9,167.76,1,2,0,0,0,2,0,2,0,2,0,0,0,0,1,1.0172393007836,1,1.00990099009901
bley_xl1,194.1,195.6,28,42,0,0,0,1,0,1,0,1,0,0,0,0,1,1.00768836494106,1,1.109375
bley_xl1,131.54,132.77,1,1,0,0,0,1,0,1,0,1,0,5,0,5,1,1.00928021729289,1,1
bley_xl1,132.98,134.6,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1.01209135691894,1,1
bnatt350,679.89,683.46,4220,4220,0,0,0,0,0,0,0,0,693,693,0,0,1,1.00524313765807,1,1
bnatt350,846.32,851.82,7468,7468,0,0,0,0,0,0,0,0,1277,1277,0,0,1,1.00649105414719,1,1
bnatt350,426.02,428.83,4560,4560,0,0,0,0,0,0,0,0,891,891,0,0,1,1.00658048803335,1,1
bnatt350,417.21,420.42,3663,3663,1,1,0,0,0,0,0,0,757,757,0,0,1,1.00767556968987,1,1
cap6000,2.87,3.39,1978,2014,15,13,0,66,0,0,0,0,65,74,0,74,1,1.1343669250646,1,1.01732435033686
cap6000,2.65,3.66,1668,2486,12,6,0,67,1,0,0,0,66,69,0,69,1,1.27671232876712,1,1.46266968325792
cap6000,3.1,3.66,2113,2205,20,10,0,64,0,0,0,0,51,100,0,100,1,1.13658536585366,1,1.04157252598283
cap6000,3.18,3.09,2086,1646,22,16,0,63,1,0,0,0,50,97,0,97,1,0.978468899521531,1,0.79871912168344
core2536-691,131.38,124.1,118,95,0,0,0,0,0,0,0,0,0,1,0,0,1,0.945006798610062,1,0.894495412844037
core2536-691,126.7,387.82,174,260,0,1,0,0,0,1,0,0,4,2,0,0,1,3.04479248238058,1,1.31386861313869
core2536-691,95.65,106.07,60,63,0,2,0,0,0,0,0,0,0,2,0,0,1,1.10781169167098,1,1.01875
core2536-691,100.59,141.06,126,113,1,0,0,0,1,0,0,0,0,0,0,0,1,1.39836598090363,1,0.942477876106195
cov1075,61.82,62.02,19799,19799,0,0,0,0,0,0,0,0,23,23,0,0,1,1.00318369945877,1,1
cov1075,83.76,83.27,32317,32317,4,4,0,0,1,1,0,0,63,63,0,0,1,0.994218971212836,1,1
cov1075,47.84,47.95,13662,13662,13,13,0,0,1,1,0,0,37,37,0,0,1,1.00225225225225,1,1
cov1075,71.04,70.94,23085,23085,21,21,0,0,2,2,0,0,50,50,0,0,1,0.998611882287618,1,1
csched010,5858.01,4796.3,317482,260919,0,0,0,0,1,0,0,0,183,311,0,48,1,0.818790205171181,1,0.821894817716369
csched010,7200,5114.71,440703,288748,0,1,0,0,0,1,0,0,234,473,0,159,1,0.710416608804333,1,0.655276847026903
csched010,3337.23,3077.06,216270,173514,0,0,0,0,0,0,0,0,221,268,0,97,1,0.922063488735048,1,0.802394047233905
csched010,4633.71,2817.09,263158,160928,1,0,0,0,1,1,0,0,312,285,0,29,1,0.608040201005025,1,0.611673719317172
d10200,7200,7200,1081637,1265884,0,0,0,0,0,0,0,0,31,142,0,3,1,1,1,1.17032513448278
d10200,7200,7200,929088,1118124,0,0,0,0,0,0,0,0,53,77,0,0,1,1,1,1.20344214518483
d10200,7200,7200,922480,1024016,0,0,0,0,0,0,0,0,34,52,0,3,1,1,1,1.11005658045915
d10200,7200,7200,1028189,1159438,0,0,0,0,0,0,0,0,25,95,0,0,1,1,1,1.12763824177833
d20200,7200,7200,382717,292381,0,0,0,0,0,0,0,0,138,93,0,0,1,1,1,0.764023018831452
d20200,7200,7200,328751,421069,0,0,0,0,0,0,0,0,105,323,0,0,1,1,1,1.28072896235681
d20200,7200,7200,292099,326181,0,0,0,0,0,0,0,0,120,79,0,0,1,1,1,1.11663968733637
d20200,7200,7200,333054,287782,0,0,0,0,0,0,0,0,43,15,0,0,1,1,1,0.864110891659713
dano3_3,127.48,127.45,18,18,1,1,0,0,1,1,0,0,0,0,0,0,1,0.999766500622665,1,1
dano3_3,103.61,102.92,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.993404072268426,1,1
dano3_3,114.7,113.6,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0.990492653414002,1,1
dano3_3,112.43,111.19,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0.989068147756326,1,1
dano3_4,149.72,149.79,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0004644373673,1,1
dano3_4,142.9,141.79,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0.992286309937456,1,1
dano3_4,131.13,130.6,14,14,0,0,0,0,0,0,0,0,1,1,0,0,1,0.995988798910164,1,1
dano3_4,110.46,110.37,29,29,0,0,0,0,0,0,0,0,1,1,0,0,1,0.999192535438723,1,1
dano3_5,311.35,309.24,185,185,1,1,0,0,1,1,0,0,4,4,0,0,1,0.993244757483592,1,1
dano3_5,324.73,324,156,156,1,1,0,0,1,1,0,0,7,7,0,0,1,0.997758880054032,1,1
dano3_5,281.32,281.38,132,132,2,2,0,0,2,2,0,0,2,2,0,0,1,1.00021252479456,1,1
dano3_5,300.1,298.72,176,176,2,2,0,0,2,2,0,0,2,2,0,0,1,0.995416805048157,1,1
dano3mip,7200,7200,2117,2034,0,0,0,0,0,0,0,0,11,4,0,0,1,1,1,0.96256202074876
dano3mip,7200,7200,1563,1378,0,0,0,0,0,0,0,0,7,7,0,0,1,1,1,0.888755261575466
dano3mip,7200,7200,1019,1011,0,0,0,0,0,0,0,0,4,4,0,0,1,1,1,0.992850759606792
dano3mip,7200,7200,2264,2299,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1.01480541455161
danoint,3938.6,3953.66,1425342,1425342,3,3,0,0,3,3,0,0,0,0,0,0,1,1.0038227231191,1,1
danoint,3677.23,3673.95,1364472,1364472,0,0,0,0,0,0,0,0,7,7,0,0,1,0.999108266747865,1,1
danoint,3369.8,3374.95,1195273,1195273,2,2,0,0,2,2,0,0,6,6,0,0,1,1.00152782722202,1,1
danoint,2924.24,2927.95,1062058,1062058,0,0,0,0,0,0,0,0,3,3,0,0,1,1.00126827200503,1,1
dcmulti,2.67,1.73,52,81,0,0,0,0,0,0,0,0,0,7,0,7,1,0.743869209809264,1,1.19078947368421
dcmulti,2.7,3.15,71,157,0,0,0,0,0,0,0,0,0,5,0,5,1,1.12162162162162,1,1.50292397660819
dcmulti,2.05,1.94,69,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0.963934426229508,1,0.662721893491124
dcmulti,2.22,1.51,82,118,0,0,0,1,0,1,0,1,0,14,0,14,1,0.779503105590062,1,1.1978021978022
dfn-gwin-UUM,143.1,89.58,39424,21399,87,30,0,103,8,5,0,5,13,29,0,27,1,0.628591256072172,1,0.543947980973586
dfn-gwin-UUM,96.16,82.05,24607,19496,106,22,0,112,7,3,0,2,98,84,0,12,1,0.854775627830383,1,0.793135548629943
dfn-gwin-UUM,121.8,127.31,32723,34489,98,34,0,91,4,6,0,4,16,25,0,22,1,1.04486970684039,1,1.05380373518569
dfn-gwin-UUM,96.94,96.34,23175,25789,92,78,0,99,4,8,0,5,18,28,0,23,1,0.993873800285889,1,1.11230934479055
