ProblemName,T_default,T_farkasdiving,T_farkasdiving-no-confs,T_farkasdiving-no-sols,N_default,N_farkasdiving,N_farkasdiving-no-confs,N_farkasdiving-no-sols,DivingSolsMax_default,DivingSolsMax_farkasdiving,DivingSolsMax_farkasdiving-no-confs,DivingSolsMax_farkasdiving-no-sols,FDSols_default,FDSols_farkasdiving,FDSols_farkasdiving-no-confs,FDSols_farkasdiving-no-sols,DivingBestSolsMax_default,DivingBestSolsMax_farkasdiving,DivingBestSolsMax_farkasdiving-no-confs,DivingBestSolsMax_farkasdiving-no-sols,FDBestSols_default,FDBestSols_farkasdiving,FDBestSols_farkasdiving-no-confs,FDBestSols_farkasdiving-no-sols,DivingConfsMax_default,DivingConfsMax_farkasdiving,DivingConfsMax_farkasdiving-no-confs,DivingConfsMax_farkasdiving-no-sols,FDConfs_default,FDConfs_farkasdiving,FDConfs_farkasdiving-no-confs,FDConfs_farkasdiving-no-sols,TQ+1_default,TQ+1_farkasdiving,TQ+1_farkasdiving-no-confs,TQ+1_farkasdiving-no-sols,NQ+100_default,NQ+100_farkasdiving,NQ+100_farkasdiving-no-confs,NQ+100_farkasdiving-no-sols
gesa3,5.03,9.86,8,9.05,6,8,7,10,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,81,0,81,0,81,0,81,1,1.80099502487562,1.49253731343284,1.66666666666667,1,1.0188679245283,1.00943396226415,1.0377358490566
gesa3_o,2.19,3.33,2.28,3.34,6,5,6,7,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,33,0,24,0,33,0,24,1,1.35736677115987,1.0282131661442,1.36050156739812,1,0.990566037735849,1,1.00943396226415
lectsched-4-obj,60.5,29.41,24.61,18.64,857,973,2216,476,2,1,1,1,0,2,0,0,2,2,1,1,0,2,0,0,174,26,0,8,0,17,0,7,1,0.494471544715447,0.416422764227642,0.319349593495935,1,1.12121212121212,2.42006269592476,0.601880877742947
lectsched-4-obj,39.21,65.62,39.34,70.17,2136,7311,2494,11582,2,1,3,1,0,1,2,0,2,1,3,1,0,1,2,0,110,50,79,47,0,24,0,18,1,1.65680179059935,1.0032330266103,1.76995772195971,1,3.31440071556351,1.16010733452594,5.22450805008945
mik-250-1-100-1,64.83,52.86,64.87,54.43,22968,21582,24170,21978,0,1,1,1,0,32,44,0,0,0,0,0,0,0,0,0,89,164,36,150,0,164,0,150,1,0.81816800850676,1.00060762570257,0.842017317332523,1,0.939916767816889,1.05210681463499,0.957083405583492
mik-250-1-100-1,38.86,39.91,45.35,39.39,15147,16857,16188,16991,2,2,1,2,0,49,48,0,0,0,0,0,0,0,0,0,37,78,46,62,0,78,0,62,1,1.02634219769192,1.1628198695434,1.01329653788259,1,1.11215321046763,1.0682757263724,1.12094182462124
mik-250-1-100-1,66.98,45.03,50.33,43.44,23266,17607,17437,17143,4,4,4,4,0,23,20,0,0,0,0,0,0,0,0,0,104,128,135,109,0,128,0,109,1,0.677110914974993,0.755075022065313,0.653721682847896,1,0.757810493879996,0.750534965334246,0.737952580672772
mik-250-1-100-1,100.62,40.55,38.73,38.83,34844,13152,12525,12593,3,1,2,1,0,41,49,0,0,0,0,0,0,0,0,0,81,128,59,94,0,128,0,94,1,0.408876205471364,0.390966345207636,0.391950403463885,1,0.379235347985348,0.361292353479853,0.363238324175824
mine-166-5,61.37,57.26,57.65,52.4,276,2077,1191,1157,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,163,7,55,0,163,0,55,1,0.934102934102934,0.94035594035594,0.856180856180856,1,5.78989361702128,3.43351063829787,3.34308510638298
mine-166-5,66.58,68.7,52.44,61.02,2802,147,984,1545,2,0,1,1,0,3,1,0,2,3,1,1,0,3,1,0,38,141,12,68,0,141,0,55,1,1.03137022787807,0.790766498964191,0.91772713820657,1,0.085113714679531,0.373535492763611,0.566850447966919
mine-166-5,46.54,58,54.72,42.25,2538,2207,1598,1517,1,1,1,1,0,1,2,0,1,1,2,0,0,1,2,0,81,75,32,120,0,58,0,55,1,1.24106015986538,1.17206562894405,0.909760201935212,1,0.874526156178923,0.643669446550417,0.612964366944655
mine-166-5,48.36,50.99,51.35,52.05,1615,1461,1069,3219,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,15,132,0,65,0,132,0,40,1,1.05328200972447,1.06057536466775,1.07475688816856,1,0.910204081632653,0.681632653061224,1.93527696793003
mine-90-10,397.37,228.35,177.19,116.26,38513,26592,22246,19667,0,1,1,0,0,1,3,0,0,1,3,0,0,1,3,0,1066,2451,2035,1384,0,178,0,21,1,0.575721063333082,0.447297738283505,0.294349474106986,1,0.691269779607904,0.578717012405148,0.511926035273094
mine-90-10,180.22,203.2,398.33,382.8,25651,32629,56082,42696,1,1,1,1,0,2,2,0,1,2,2,1,0,2,2,0,1253,1553,7211,2920,0,213,0,53,1,1.12680719567377,2.20356472795497,2.11786778501269,1,1.27097976777601,2.18174051493146,1.66191604209545
mine-90-10,342.6,168.55,372.99,187.62,47767,23014,46179,30862,2,1,1,1,0,2,2,0,2,2,2,3,0,2,2,0,2447,788,2118,1588,0,332,0,22,1,0.493451688009313,1.08844586728754,0.54895227008149,1,0.482879645684919,0.966824743560282,0.646833935696827
mine-90-10,691.71,261.14,206.78,213.86,76187,34052,31780,30679,1,2,0,1,0,1,2,0,1,2,2,1,0,1,2,0,2896,1872,1050,1002,0,208,0,52,1,0.37842675867246,0.299952361016876,0.310173088305351,1,0.447677848126155,0.417895578538939,0.403463237510978
misc03,0.78,0.83,0.78,0.8,23,20,20,25,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1.02808988764045,1,1.01123595505618,1,0.975609756097561,0.975609756097561,1.01626016260163
misc03,0.6,0.66,0.69,0.73,29,29,33,31,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1.0375,1.05625,1.08125,1,1,1.03100775193798,1.01550387596899
misc06,0.5,0.55,0.5,0.53,3,3,3,3,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,968,0,968,0,968,0,968,1,1.03333333333333,1,1.02,1,1,1,1
misc06,0.54,0.57,0.63,0.57,3,3,3,3,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,1009,0,1009,0,1009,0,1009,1,1.01948051948052,1.05844155844156,1.01948051948052,1,1,1,1
misc06,0.5,0.53,0.5,0.52,3,3,3,3,0,0,0,0,0,7,10,0,0,1,1,0,0,1,1,0,0,1034,0,1027,0,1034,0,1027,1,1.02,1,1.01333333333333,1,1,1,1
misc06,0.5,0.5,0.5,0.5,3,3,3,3,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,963,0,963,0,963,0,963,1,1,1,1,1,1,1,1
misc07,8.84,6.69,6.7,5.31,5035,2116,2116,1411,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,35,11,11,3,0,3,0,3,1,0.78150406504065,0.782520325203252,0.641260162601626,1,0.431548198636806,0.431548198636806,0.294255111976631
mkc1,7200,126.57,350.37,1799.73,2126006,18349,70484,537277,1,2,2,0,0,1,1,0,1,2,2,0,0,1,1,0,50,29,18,15,0,29,0,0,1,0.017715595056242,0.048794611859464,0.250066657408693,1,0.008677366039134,0.033198721042131,0.25275174426863
mkc1,89.67,41.04,3182.74,52.33,12288,2868,882187,4163,1,1,1,3,0,1,1,0,1,1,1,3,0,1,1,0,10,72,49,23,0,0,0,23,1,0.463659424285872,35.1134884746884,0.588176905260836,1,0.239586696803358,71.2211010655473,0.344123345172748
mod010,0.5,0.5,0.5,0.5,2,2,2,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
mod010,0.5,0.5,0.5,0.5,2,2,2,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
mod010,0.5,0.54,0.53,0.54,2,3,3,3,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,4,0,0,0,4,0,0,1,1.02666666666667,1.02,1.02666666666667,1,1.00980392156863,1.00980392156863,1.00980392156863
mod010,0.6,0.5,0.5,0.6,2,2,2,2,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0.9375,0.9375,1,1,1,1,1
modglob,0.5,0.5,0.5,0.5,2,2,2,2,0,0,0,0,0,8,9,0,0,0,1,0,0,0,1,0,0,21,0,21,0,21,0,21,1,1,1,1,1,1,1,1
modglob,0.5,0.5,0.5,0.5,2,2,2,2,0,0,0,0,0,8,9,0,0,0,1,0,0,0,1,0,0,54,0,44,0,54,0,44,1,1,1,1,1,1,1,1
mzzv42z,130.46,175.77,158.9,183.64,174,321,250,439,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,16,16,9,0,0,0,0,1,1.34466757949186,1.21633957097216,1.40453369846341,1,1.53649635036496,1.27737226277372,1.96715328467153
mzzv42z,170.99,138.3,156.25,160.41,309,251,243,275,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,10,10,15,10,0,10,0,10,1,0.80993080993081,0.914297342868771,0.938484795627653,1,0.858190709046455,0.838630806845966,0.916870415647922
mzzv42z,154.5,159.45,149.82,208.21,214,285,187,323,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,14,3,0,11,0,3,0,3,1,1.03183279742765,0.969903536977492,1.34540192926045,1,1.22611464968153,0.914012738853503,1.34713375796178
n4-3,180.34,215.22,200.37,192.73,2929,3479,2917,3089,34,59,53,68,0,62,98,0,11,5,16,7,0,0,0,0,83,39,33,25,0,39,0,12,1,1.19234586963715,1.11045549795963,1.06832469394508,1,1.18157807857379,0.996038296467481,1.05282271376692
n4-3,230.02,165.48,186.03,180.31,2886,2039,2383,2265,116,58,36,54,0,62,52,0,19,11,7,7,0,0,0,0,40,18,11,25,0,18,0,14,1,0.720630248463336,0.809583585836724,0.784823824777076,1,0.716342933690556,0.831547220361688,0.792029470864032
n4-3,191.7,223.04,231.25,205.6,2706,3166,3361,2662,87,57,57,87,0,23,23,0,10,7,7,12,0,0,0,0,24,87,86,56,0,51,0,20,1,1.1626362221069,1.20524130773223,1.07213284898806,1,1.16393442622951,1.23342836778332,0.98431931575196
