ProblemName,Seed,T_coefdiving,T_conflictdiving-no-coefdiving,T_conflictdiving-no-coefdiving-no-confs,T_conflictdiving-no-coefdiving-no-sols,T_no-coefdiving,N_coefdiving,N_conflictdiving-no-coefdiving,N_conflictdiving-no-coefdiving-no-confs,N_conflictdiving-no-coefdiving-no-sols,N_no-coefdiving,CoefSols_coefdiving,CoefSols_conflictdiving-no-coefdiving,CoefSols_conflictdiving-no-coefdiving-no-confs,CoefSols_conflictdiving-no-coefdiving-no-sols,CoefSols_no-coefdiving,ConfSols_coefdiving,ConfSols_conflictdiving-no-coefdiving,ConfSols_conflictdiving-no-coefdiving-no-confs,ConfSols_conflictdiving-no-coefdiving-no-sols,ConfSols_no-coefdiving,CoefBestSols_coefdiving,CoefBestSols_conflictdiving-no-coefdiving,CoefBestSols_conflictdiving-no-coefdiving-no-confs,CoefBestSols_conflictdiving-no-coefdiving-no-sols,CoefBestSols_no-coefdiving,ConfBestSols_coefdiving,ConfBestSols_conflictdiving-no-coefdiving,ConfBestSols_conflictdiving-no-coefdiving-no-confs,ConfBestSols_conflictdiving-no-coefdiving-no-sols,ConfBestSols_no-coefdiving,CoefConfs_coefdiving,CoefConfs_conflictdiving-no-coefdiving,CoefConfs_conflictdiving-no-coefdiving-no-confs,CoefConfs_conflictdiving-no-coefdiving-no-sols,CoefConfs_no-coefdiving,ConfConfs_coefdiving,ConfConfs_conflictdiving-no-coefdiving,ConfConfs_conflictdiving-no-coefdiving-no-confs,ConfConfs_conflictdiving-no-coefdiving-no-sols,ConfConfs_no-coefdiving,CoefAvgDepth_coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving-no-confs,CoefAvgDepth_conflictdiving-no-coefdiving-no-sols,CoefAvgDepth_no-coefdiving,ConfAvgDepth_coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving-no-confs,ConfAvgDepth_conflictdiving-no-coefdiving-no-sols,ConfAvgDepth_no-coefdiving,TQ+1_coefdiving,TQ+1_conflictdiving-no-coefdiving,TQ+1_conflictdiving-no-coefdiving-no-confs,TQ+1_conflictdiving-no-coefdiving-no-sols,TQ+1_no-coefdiving,NQ+100_coefdiving,NQ+100_conflictdiving-no-coefdiving,NQ+100_conflictdiving-no-coefdiving-no-confs,NQ+100_conflictdiving-no-coefdiving-no-sols,NQ+100_no-coefdiving
neos-941313,4,5719.09,6868.38,5978.79,6866.54,5887.77,185,274,218,274,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,489,0,0,0,0,0,216,216,216,0,0.971355648123462,1.16652204110536,1.01545653846219,1.16620958196703,1,0.946843853820598,1.24252491694352,1.05647840531561,1.24252491694352,1
neos-941698,0,23.44,26.23,26.29,26,26.68,483,836,914,836,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,49,0,49,0,25.5,0,0,0,0,0,30.5,35,30.5,0,0.882947976878613,0.983742774566474,0.985910404624278,0.975433526011561,1,0.553656220322887,0.888888888888889,0.962962962962963,0.888888888888889,1
neos-941698,1,11.13,11.15,11.2,11.64,11.16,71,71,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997532894736842,0.999177631578947,1.00328947368421,1.03947368421053,1,1,1,1,1,1
neos-941698,3,16.7,16.68,16.93,17.1,16.86,123,123,123,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991041433370661,0.989921612541993,1.00391937290034,1.01343784994401,1,1,1,1,1,1
neos-941698,4,14.71,14.73,14.93,15.18,14.75,99,99,99,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997460317460318,0.998730158730159,1.01142857142857,1.02730158730159,1,1,1,1,1,1
neos-941717,0,7200,7200,7200,7200,7200,940263,871332,705523,871235,788323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,696,0,696,0,167.6,0,0,0,0,0,115.8,130.9,115.8,0,1,1,1,1,1,1.19271380971889,1.10528485343528,0.894980232692349,1.10516182303155,1
neos-941717,1,7200,7200,7200,7200,7200,631355,772858,686656,788051,679140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,130,0,130,0,189.9,0,0,0,0,0,184.1,134.2,184.1,0,1,1,1,1,1,0.929649313939108,1.13797479535952,1.01106530828573,1.16034244155232,1
neos-941717,3,7200,7200,7200,7200,7200,1101893,1052585,944140,1055521,983858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,668,0,668,0,174.3,0,0,0,0,0,86.5,103.9,86.5,0,1,1,1,1,1,1.11995938851049,1.06984749349058,0.959634455942225,1.07283136068816,1
neos-941717,4,7200,7200,7200,7200,7200,807380,959423,765255,961475,737191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,2016,0,2016,0,138.4,0,0,0,0,0,79.5,69.2,79.5,0,1,1,1,1,1,1.09519850371156,1.30141694392038,1.03806366821242,1.30420010552143,1
neos-941782,0,7200,7200,7200,7200,7200,1328870,1282289,1511768,1284847,1376577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912,0,0,0,0,0,2918,0,2918,0,116.1,0,0,0,0,0,91,79.3,91,0,1,1,1,1,1,0.965346264955396,0.93151044144705,1.09820095781363,0.933368538880217,1
