ProblemName,T_coefdiving,T_conflictdiving-no-coefdiving,T_no-coefdiving,N_coefdiving,N_conflictdiving-no-coefdiving,N_no-coefdiving,CoefSols_coefdiving,CoefSols_conflictdiving-no-coefdiving,CoefSols_no-coefdiving,ConfSols_coefdiving,ConfSols_conflictdiving-no-coefdiving,ConfSols_no-coefdiving,CoefBestSols_coefdiving,CoefBestSols_conflictdiving-no-coefdiving,CoefBestSols_no-coefdiving,ConfBestSols_coefdiving,ConfBestSols_conflictdiving-no-coefdiving,ConfBestSols_no-coefdiving,CoefConfs_coefdiving,CoefConfs_conflictdiving-no-coefdiving,CoefConfs_no-coefdiving,ConfConfs_coefdiving,ConfConfs_conflictdiving-no-coefdiving,ConfConfs_no-coefdiving,CoefAvgDepth_coefdiving,CoefAvgDepth_conflictdiving-no-coefdiving,CoefAvgDepth_no-coefdiving,ConfAvgDepth_coefdiving,ConfAvgDepth_conflictdiving-no-coefdiving,ConfAvgDepth_no-coefdiving,TQ+1_coefdiving,TQ+1_conflictdiving-no-coefdiving,TQ+1_no-coefdiving,NQ+100_coefdiving,NQ+100_conflictdiving-no-coefdiving,NQ+100_no-coefdiving
app1-2,826.39,828.6,826.59,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999758334440967,1.00242873886828,1,1,1,1
app1-2,1157.03,1162.08,1159.42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997940400889333,1.00229227348719,1,1,1,1
app1-2,983.52,979.77,974.93,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0088018607892,1.00495937208611,1,1,1,1
arki001,7200,7200,7200,963881,1423071,869267,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,35,0,86,0,0,0,79,0,1,1,1,1.10883090800548,1.63701980866539,1
arki001,7200,7200,7200,961059,1124028,922587,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,37,0,109.9,0,0,0,82.7,0,1,1,1,1.04169561292183,1.21831997199484,1
arki001,7200,7200,7200,905037,944689,710068,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,56,0,100.7,0,0,0,93,0,1,1,1,1.27453926394881,1.33037393968751,1
arki001,7200,7200,7200,1002063,1186261,871129,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,41,0,95.7,0,0,0,83.2,0,1,1,1,1.15028654923103,1.36170972270207,1
ash608gpia-3col,43.37,43.29,43.05,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00726447219069,1.00544835414302,1,1,1,1
ash608gpia-3col,38.93,36.63,36.68,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05971337579618,0.998673036093418,1,1,1,1
ash608gpia-3col,24.11,24.13,24.12,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999601910828025,1.00039808917197,1,1,1,1
ash608gpia-3col,35.74,35.52,35.69,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00136276914691,0.995366584900518,1,1,1,1
atlanta-ip,7200,7200,7200,12741,27709,9729,0,0,0,0,0,0,0,0,0,0,0,0,2638,0,0,0,425,0,84.2,0,0,0,41.4,0,1,1,1,1.30644012615729,2.82928069996948,1
atlanta-ip,7200,7200,7200,10450,12117,10022,0,0,0,0,0,0,0,0,0,0,0,0,1089,0,0,0,184,0,64.6,0,0,0,40.1,0,1,1,1,1.04228413357044,1.20697490614503,1
atlanta-ip,7200,7200,7200,10784,6675,8721,0,0,0,0,0,0,0,0,0,0,0,0,1522,0,0,0,307,0,71.5,0,0,0,51,0,1,1,1,1.23387371046367,0.768053508672486,1
atlanta-ip,7200,7200,7200,10070,7798,6036,0,0,0,0,0,0,0,0,0,0,0,0,1284,0,0,0,158,0,70.3,0,0,0,45.9,0,1,1,1,1.65743155149935,1.28715775749674,1
bab5,7200,7200,7200,66855,67293,68217,0,0,0,0,0,0,0,0,0,0,0,0,726,0,0,0,309,0,55.3,0,0,0,88.2,0,1,1,1,0.980063527379715,0.986474815931613,1
bab5,7200,7200,7200,86126,60153,72828,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,420,0,48,0,0,0,97.9,0,1,1,1,1.18234422992541,0.826198442299254,1
bab5,7200,6816.87,7200,79575,92316,108379,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,526,0,54.3,0,0,0,89,0,1,0.946794889598667,1,0.734473953484085,0.851925257423096,1
bab5,7200,7200,7200,71305,71561,75445,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,235,0,67.2,0,0,0,81.7,0,1,1,1,0.945198226222781,0.94858693493944,1
bc,1114.32,1266.74,1379.1,11703,12122,14573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,49.7,0,0,0,45,0,0.808144337366858,0.918585609738425,1,0.804402644312683,0.832958495195257,1
bc,1242.65,1132.34,1125.25,11588,12713,12204,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,48,0,0,0,50.7,0,1.1042397336293,1.00629522752497,1,0.949934980494148,1.04136866059818,1
bc,1143.59,1178.52,1460.71,13849,12413,16681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,43.8,0,0,0,47.7,0,0.783048621135519,0.806945290105424,1,0.831237709314105,0.745664739884393,1
